shipment_id,shipment_number,order_id,carrier_code,carrier_name,mode,shipment_status,origin_location_id,destination_location_id,planned_ship_date,actual_ship_date,planned_delivery_date,actual_delivery_date,freight_cost,weight_lbs,pallet_count,tracking_number,yard_checkin_at,yard_checkout_at,created_at,updated_at,_loaded_at,_source_system
SHP00081,TMS-900081,ORD00090,AMZL,Amazon Shipping,OCEAN,DELIVERED,LOC0002,LOC0058,2024-10-03,2024-10-04,2024-10-05,2024-10-05,214.44,10883.9922,6,1Z93345800249,2024-10-04 15:00:00,2024-10-05 01:00:00,2024-10-01 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00082,TMS-900082,ORD00091,AMZL,Amazon Shipping,PARCEL,IN_TRANSIT,LOC0006,LOC0063,2024-10-05,2024-10-05,2024-10-07,,2007.29,25255.1841,26,1Z34771181438,2024-10-05 15:00:00,2024-10-05 23:00:00,2024-10-04 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00083,TMS-900083,ORD00092,AMZL,Amazon Shipping,PARCEL,DELIVERED,LOC0008,LOC0073,2024-10-12,2024-10-12,2024-10-15,2024-10-15,977.34,4604.5163,7,1Z82625058947,2024-10-12 13:00:00,2024-10-12 23:00:00,2024-10-07 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00084,TMS-900084,ORD00093,JBHT,J.B. Hunt,INTERMODAL,IN_TRANSIT,LOC0002,LOC0056,2024-10-14,2024-10-14,2024-10-20,,300.73,27711.52,20,1Z98813736180,2024-10-14 13:00:00,2024-10-14 23:00:00,2024-10-10 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00085,TMS-900085,ORD00094,XPO,XPO Logistics,TL,EXCEPTION,LOC0016,LOC0073,2024-10-18,2024-10-19,2024-10-22,2024-10-26,896.45,33803.8526,25,1Z25359321980,2024-10-19 12:00:00,2024-10-19 16:00:00,2024-10-13 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00086,TMS-900086,ORD00095,XPO,XPO Logistics,TL,DELIVERED,LOC0018,LOC0075,2024-10-18,2024-10-18,2024-10-23,2024-10-26,681.82,279.4436,24,1Z13390543744,2024-10-18 07:00:00,2024-10-18 12:00:00,2024-10-16 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00087,TMS-900087,ORD00097,AMZL,Amazon Shipping,PARCEL,PLANNED,LOC0014,LOC0072,2024-10-27,,2024-11-02,,331.74,17923.7032,19,1Z45449082653,2024-10-27 16:00:00,,2024-10-22 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00088,TMS-900088,ORD00098,AMZL,Amazon Shipping,OCEAN,DELIVERED,LOC0018,LOC0079,2024-10-29,2024-10-28,2024-11-02,2024-11-04,498.74,23503.9862,16,1Z88626476299,2024-10-28 12:00:00,2024-10-29 01:00:00,2024-10-25 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00089,TMS-900089,ORD00099,ODFL,Old Dominion,TL,EXCEPTION,LOC0015,LOC0059,2024-11-01,2024-11-01,2024-11-09,2024-11-09,317.14,21375.0116,26,1Z93969085440,2024-11-01 17:00:00,2024-11-01 21:00:00,2024-10-28 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00090,TMS-900090,ORD00100,JBHT,J.B. Hunt,INTERMODAL,CANCELLED,LOC0001,LOC0054,2024-11-01,2024-11-01,2024-11-06,,1990.84,19836.5003,20,1Z20459866461,,,2024-10-31 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00091,TMS-900091,ORD00101,FXFE,FedEx Freight,LTL,IN_TRANSIT,LOC0013,LOC0074,2024-11-06,2024-11-06,2024-11-10,,1506.33,21906.1825,23,1Z95742707683,2024-11-06 06:00:00,2024-11-06 18:00:00,2024-11-03 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00092,TMS-900092,ORD00102,FXFE,FedEx Freight,LTL,PLANNED,LOC0017,LOC0067,2024-11-08,,2024-11-13,,535.84,32937.0987,17,1Z92599397877,2024-11-08 16:00:00,,2024-11-06 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00093,TMS-900093,ORD00103,UPGF,UPS Freight,LTL,DELIVERED,LOC0013,LOC0071,2024-11-10,2024-11-10,2024-11-13,2024-11-13,1635.27,17058.6681,7,1Z12223687972,2024-11-10 07:00:00,2024-11-10 12:00:00,2024-11-09 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00094,TMS-900094,ORD00106,JBHT,J.B. Hunt,INTERMODAL,DELIVERED,LOC0012,LOC0071,2024-11-19,2024-11-19,2024-11-25,2024-11-28,2315.01,11649.5043,20,1Z39906102711,2024-11-19 14:00:00,2024-11-20 00:00:00,2024-11-18 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00095,TMS-900095,ORD00107,XPO,XPO Logistics,TL,DELIVERED,LOC0018,LOC0053,2024-11-25,2024-11-24,2024-11-27,2024-11-27,1249.84,14311.5693,4,1Z82168087413,2024-11-24 14:00:00,2024-11-24 16:00:00,2024-11-21 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00096,TMS-900096,ORD00108,ODFL,Old Dominion,TL,DELIVERED,LOC0008,LOC0070,2024-11-29,2024-11-28,2024-12-03,2024-12-03,2310.27,19298.6916,15,1Z91159951836,2024-11-28 15:00:00,2024-11-28 23:00:00,2024-11-24 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00097,TMS-900097,ORD00109,FXFE,FedEx Freight,LTL,PLANNED,LOC0008,LOC0063,2024-12-01,,2024-12-05,,1937.37,17351.2695,12,1Z85232812761,2024-12-01 16:00:00,,2024-11-27 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00098,TMS-900098,ORD00111,FXFE,FedEx Freight,LTL,IN_TRANSIT,LOC0011,LOC0053,2024-12-06,2024-12-06,2024-12-10,,1368.79,7537.4771,11,1Z37288237610,2024-12-06 16:00:00,2024-12-07 04:00:00,2024-12-03 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00099,TMS-900099,ORD00112,AMZL,Amazon Shipping,LTL,DELIVERED,LOC0009,LOC0062,2024-12-09,2024-12-09,2024-12-16,2024-12-16,615.62,35075.7531,20,1Z28708995114,2024-12-09 13:00:00,2024-12-10 01:00:00,2024-12-06 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00100,TMS-900100,ORD00115,FXFE,FedEx Freight,LTL,CANCELLED,LOC0016,LOC0049,2024-12-16,2024-12-16,2024-12-23,,1854.23,22764.8324,2,1Z78066687224,,,2024-12-15 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
